,q,sample,Kq,angle/90,h/lo,D/lo,d/lo,liquid,a/a_smooth_Kut,Pr,P,a/a_smooth_Lab,a/a_smooth_Bor
149,129660.73102,18,815.13576384123,0.922222222222222,0.119862546276975,0.017579840120623,0.0103880873440045,вода,2.67406894204396,1.75,101325,2.76093649960029,2.29117190826127
150,158762.8866,18,998.091757005193,0.922222222222222,0.119862546276975,0.017579840120623,0.0103880873440045,вода,2.4774949210368,1.75,101325,2.57530067555319,2.13712143108252
151,122020.61856,18,767.104807537626,0.922222222222222,0.119862546276975,0.017579840120623,0.0103880873440045,вода,3.10132531649967,1.75,101325,3.19559672806872,2.65187607702773
152,132288.35989,18,831.654830556258,0.922222222222222,0.119862546276975,0.017579840120623,0.0103880873440045,вода,2.866512716198,1.75,101325,2.96161178660405,2.45770293146005
153,156511.56514,18,983.938415253123,0.922222222222222,0.119862546276975,0.017579840120623,0.0103880873440045,вода,2.49394325435315,1.75,101325,2.59116449850059,2.15028607485466
154,178334.30178,18,1121.13101751763,0.922222222222222,0.119862546276975,0.017579840120623,0.0103880873440045,вода,2.29629521310262,1.75,101325,2.39621483584227,1.98850647917311
155,208324.27366,18,1309.66842929738,0.922222222222222,0.119862546276975,0.017579840120623,0.0103880873440045,вода,1.98071808886393,1.75,101325,2.07764271903907,1.72413839795122
156,244496.10122,18,1537.06920095511,0.922222222222222,0.119862546276975,0.017579840120623,0.0103880873440045,вода,1.74910351016208,1.75,101325,1.84451183151782,1.53067399175642
157,161383.91753,18,1014.5693445706,0.922222222222222,0.119862546276975,0.017579840120623,0.0103880873440045,вода,2.54399679526535,1.75,101325,2.6458716384956,2.19568496843878
158,179518.14433,18,1128.57345898523,0.922222222222222,0.119862546276975,0.017579840120623,0.0103880873440045,вода,2.32273211411207,1.75,101325,2.42433671657949,2.0118435110686
159,212002.15558,18,1332.79010279554,0.922222222222222,0.119862546276975,0.017579840120623,0.0103880873440045,вода,2.00675814179259,1.75,101325,2.10618530789773,1.74782455581522
160,243411.43393,18,1530.25024279413,0.922222222222222,0.119862546276975,0.017579840120623,0.0103880873440045,вода,1.75832623090274,1.75,101325,1.85396283338101,1.53851693561877
161,268743.01781,18,1689.5018513027,0.922222222222222,0.119862546276975,0.017579840120623,0.0103880873440045,вода,2.15473619771596,1.75,101325,2.27944376912824,1.89160363921586
162,308079.38144,18,1936.79705442269,0.922222222222222,0.119862546276975,0.017579840120623,0.0103880873440045,вода,1.94521718078063,1.75,101325,2.06718996104014,1.71546414358337
163,38606.18557,18,242.704805965841,0.922222222222222,0.119862546276975,0.017579840120623,0.0103880873440045,вода,4.26908145576067,1.75,101325,4.23330806435075,3.51302411970016
164,71820.05623,18,451.509843679124,0.922222222222222,0.119862546276975,0.017579840120623,0.0103880873440045,вода,4.19576605473041,1.75,101325,4.24759393921036,3.52487929824846
