,q,alfa,sample,Kq,lo,height_h,gap_D,gap_u,thickness_d,thickness_s,angle,angle/90,h/lo,D/lo,d/lo,u/lo,s/lo,liquid,a/a_smooth_Kut,Pr,P,Ts,a/a_smooth_Lab,T_krit,P_krit,a/a_smooth_Bor
349,94758.13,24115.76,39,595.71421563096,0.0025028669031172,375.0,5.0,250.0,300.0,50.0,90.0,1.0,0.14982818284622001,0.0019977091046163,0.11986254627697998,0.099885455230813,0.019977091046163003,вода,3.3913148544957,1.75,"101,325",373.0,3.4650714769584,647.0,21830000,2.8755005518141004
350,65012.75,26539.16,39,408.71447518289,0.0025028669031172,375.0,5.0,250.0,300.0,50.0,90.0,1.0,0.14982818284622001,0.0019977091046163,0.11986254627697998,0.099885455230813,0.019977091046163003,вода,4.8583286842049995,1.75,"101,325",373.0,4.9020422161865005,647.0,21830000,4.067975275948299
351,41912.0,35019.19,39,263.48740952913,0.0025028669031172,375.0,5.0,250.0,300.0,50.0,90.0,1.0,0.14982818284622001,0.0019977091046163,0.11986254627697998,0.099885455230813,0.019977091046163003,вода,8.717017601085299,1.75,"101,325",373.0,8.6676773880766,647.0,21830000,7.1928995629952
352,50794.0,29958.27,39,319.32571768522,0.0025028669031172,375.0,5.0,250.0,300.0,50.0,90.0,1.0,0.14982818284622001,0.0019977091046163,0.11986254627697998,0.099885455230813,0.019977091046163003,вода,6.5184859902026995,1.75,"101,325",373.0,6.5232499507318,647.0,21830000,5.4133396548045
353,81468.75,26090.5,39,512.1681116405,0.0025028669031172,375.0,5.0,250.0,300.0,50.0,90.0,1.0,0.14982818284622001,0.0019977091046163,0.11986254627697998,0.099885455230813,0.019977091046163003,вода,4.0783769272585,1.75,"101,325",373.0,4.1461397115051,647.0,21830000,3.4406871857075
354,109471.5,24508.15,39,688.2124917033,0.0025028669031172,375.0,5.0,250.0,300.0,50.0,90.0,1.0,0.14982818284622001,0.0019977091046163,0.11986254627697998,0.099885455230813,0.019977091046163003,вода,3.1152899757327,1.75,"101,325",373.0,3.1983946425841006,647.0,21830000,2.6541979352596
355,156750.0,23702.22,39,985.43737935894,0.0025028669031172,375.0,5.0,250.0,300.0,50.0,90.0,1.0,0.14982818284622001,0.0019977091046163,0.11986254627697998,0.099885455230813,0.019977091046163003,вода,2.3433784746776,1.75,"101,325",373.0,2.434853808139,647.0,21830000,2.0205711528457
356,193297.5,24204.1,39,1215.1998841253,0.0025028669031172,375.0,5.0,250.0,300.0,50.0,90.0,1.0,0.14982818284622001,0.0019977091046163,0.11986254627697998,0.099885455230813,0.019977091046163003,вода,2.066470779986,1.75,"101,325",373.0,2.1621891282435,647.0,21830000,1.7942995036998002
357,246906.0,25392.02,39,1552.219467866,0.0025028669031172,375.0,5.0,250.0,300.0,50.0,90.0,1.0,0.14982818284622001,0.0019977091046163,0.11986254627697998,0.099885455230813,0.019977091046163003,вода,1.8265173294115,1.75,"101,325",373.0,1.9267781876681997,647.0,21830000,1.5989429882486998
358,296235.0,26157.94,39,1862.3351966469,0.0025028669031172,375.0,5.0,250.0,300.0,50.0,90.0,1.0,0.14982818284622001,0.0019977091046163,0.11986254627697998,0.099885455230813,0.019977091046163003,вода,1.6563677925456002,1.75,"101,325",373.0,1.7579297890842,647.0,21830000,1.4588236093183002
